862,Toy Story ,1995,81,/uMZqKhT4YA6mqo2yczoznv7IDmv.jpg
710,GoldenEye ,1995,130,/trtANqAEy9dxRCeIe7YEDVeGkLw.jpg
5,Four Rooms ,1995,98,/zbwxBgGO9wtauX8dDfG16ZYZdn.jpg
8012,Get Shorty ,1995,105,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg
1710,Copycat ,1995,124,/80czeJGSoik22fhtUM9WzyjUU4r.jpg
37557,Shanghai Triad ,1995,108,/qcoOCoN7viOhboGwhYXyApdDuiq.jpg
63,Twelve Monkeys ,1995,129,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg
9598,Babe ,1995,89,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg
687,Dead Man Walking ,1995,122,/nDudi7ubWKs5f92GmRPFzEEGkAN.jpg
31174,Richard III ,1995,104,/e8nuS9GQoSFaqld4hW5erk2ccag.jpg
807,Seven (Se7en) ,1995,127,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg
629,The Usual Suspects,1995,106,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg
11448,Mighty Aphrodite ,1995,95,/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg
11010,Il Postino,1994,108,/op2qdcYdImysT9HuO5JFC0stRYg.jpg
2054,Mr. Holland's Opus ,1995,137,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg
4482,French Twist (Gazon maudit) ,1995,95,/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg
755,From Dusk Till Dawn ,1996,108,/iwnyTTLRJepAD2SZjdrbpP7QwFo.jpg
46785,The White Balloon,1995,85,/96UDOJNgJXHmQMJqA79bKS9PR8i.jpg
880,Antonia's Line ,1995,102,/bIQp2SJrVXiQttv9hXeqliQox0K.jpg
8447,Angels and Insects ,1995,118,/1QyCF6IFoX5WJIYHOkmLa3vzU0r.jpg
10874,Muppet Treasure Island ,1996,100,/5A8gKzOrF9Z7tSUX6xd5dEx4NXf.jpg
197,Braveheart ,1995,177,/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg
103,Taxi Driver ,1976,114,/nGcgVnsL5yLKqg2X4OZcPetsHdd.jpg
33542,Rumble in the Bronx ,1995,91,/y7AxKPPCtZyrGQKvxzn5zTQ8wFm.jpg
11000,The Birdcage,1996,117,/wRTkvqRTB05gcGInsnGqVgLkb3t.jpg
